first_cmt,forum_links,last_posts,posts,stock_names
提醒: 投资银行压低股票让持有call/put warrant 变成废纸！  投资银行（庄家）将推出call/put warrant让小股民购买，用废纸换真...,/servlets/forum/800007535.jsp?fp=21,"Nov 19, 10:49 AM",1,Stock: [A50CHIN-C28]: A50CHIN-C28: CW ISHARES FTSE A50 CHINA INDEX ETF (RHB)
Hip hip hoorey,/servlets/forum/800004947.jsp?fp=21,"Nov 19, 10:47 AM",1,Stock: [IDEAL-WB]: IDEAL UNITED BINTANG INTERNATIONAL BHD
Golden Land to start work on RM155mil project   https://www.thestar.com.my/bus...,/servlets/forum/800001532.jsp?fp=21,"Nov 19, 07:35 AM",422,Stock: [GLBHD]: GOLDEN LAND BHD
"Excluding the gain on disposal of quoted investment, 2Q18 PATAMI would have be...",/servlets/forum/800000430.jsp?fp=21,"Nov 18, 04:30 PM",677,Stock: [NSOP]: NEGRI SEMBILAN OIL PALMS BHD
oooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooo...,/servlets/forum/800007189.jsp?fp=21,"Nov 16, 10:52 PM",1,Stock: [PWROOT-WA]: POWER ROOT BERHAD
???,/servlets/forum/800007457.jsp?fp=21,"Nov 16, 03:19 PM",1,Stock: [BOC-C5]: BOC-C5: CW BANK OF CHINA LTD (RHB)
WTF keep dumping at low prices ?,/servlets/forum/800000439.jsp?fp=21,"Nov 16, 12:51 PM","1,149",Stock: [ECM]: ECM LIBRA FINANCIAL GROUP BHD
I saw yesterday 0.15,/servlets/forum/800004056.jsp?fp=21,"Nov 14, 07:31 AM",22,Stock: [TEOSENG-WA]: TEO SENG CAPITAL BHD
Buy,/servlets/forum/800007031.jsp?fp=21,"Nov 13, 08:07 AM",1,Stock: [FBMKLCI-H6A]: FBMKLCI-H6A: PW FTSE BURSA MALAYSIA KLCI INDEX (MACQ)
dead counter...,/servlets/forum/800001674.jsp?fp=21,"Nov 12, 12:53 PM",174,Stock: [JIANKUN]: JIANKUN INTERNATIONAL BHD
"Now WA now value .Xinghe board of director, don't let investor lost confid...",/servlets/forum/800004187.jsp?fp=21,"Nov 10, 08:15 AM",95,Stock: [XINGHE-WA]: XINGHE HOLDINGS BERHAD
NTA 1.3 perhaps can drop more? Dividend sure won't repeat if QR turn worse.,/servlets/forum/800000493.jsp?fp=21,"Nov 10, 04:10 AM",886,Stock: [CIHLDG]: CI HOLDINGS BHD
No hope,/servlets/forum/800001438.jsp?fp=21,"Nov 8, 09:33 PM",965,Stock: [CHGP]: BOON KOON GROUP BHD
Insider Info:We are looking forward to enter the REVENUE counter again because...,/servlets/forum/800000388.jsp?fp=21,"Nov 8, 04:52 PM","1,027",Stock: [MENANG]: MENANG CORP (M) BHD
Oren said this a goldmine,/servlets/forum/800007442.jsp?fp=21,"Nov 7, 07:27 PM",1,Stock: [MBSB-C17]: MBSB-C17: CW MALAYSIA BUILDING SOCIETY BERHAD (CIMB)
"0.005 sen nia buy RM500 -100k unit  see can increase or not lo ,already the lo...",/servlets/forum/800007193.jsp?fp=21,"Nov 7, 04:26 PM",2,Stock: [GENTINGC54]: GENTINGC54: CW GENTING BERHAD (KIBB)
Was interested in this stock after it posted its second profitable quarter for...,/servlets/forum/800001133.jsp?fp=21,"Nov 7, 03:37 PM","1,195",Stock: [ENCORP]: ENCORP BHD
how you people think about this counter?,/servlets/forum/800001842.jsp?fp=21,"Nov 7, 09:58 AM",307,Stock: [MCLEAN]: MCLEAN TECHNOLOGIES BHD
Ok TQ calvin,/servlets/forum/800001030.jsp?fp=21,"Nov 6, 01:01 AM",6,Stock: [MAMEE]: MAMEE-DOUBLE DECKER (M) BHD
I think Kluang will attempt to take Sg Bagan private next year.,/servlets/forum/800000477.jsp?fp=21,"Nov 3, 09:22 PM",57,Stock: [SBAGAN]: SUNGEI BAGAN RUBBER CO (MALAYA) BHD
Hello~,/servlets/forum/800000951.jsp?fp=21,"Nov 2, 01:49 PM","2,685",Stock: [XINQUAN]: XINGQUAN INTERNATIONAL SPORTS HOLDINGS LTD
siapa beli xiaomi mix 3? harga berapa?,/servlets/forum/800007464.jsp?fp=21,"Oct 31, 04:04 PM",1,Stock: [XIAOMI-C1]: XIAOMI-C1: CW XIAOMI CORPORATION (RHB)
for earn money,/servlets/forum/800003083.jsp?fp=21,"Jul 3, 04:18 PM",410,Stock: [GBGAQRS-WA]: GABUNGAN AQRS - WARRANTS A
hows this counter ? lol,/servlets/forum/800004405.jsp?fp=21,"Oct 31, 02:18 PM",3,Stock: [IDMENSN-WA]: IDIMENSION CONSOLIDATED BHD
"Me all in buy fbmklci put warrants, hope klse indexes can drop four hundreds p...",/servlets/forum/800006894.jsp?fp=21,"Oct 30, 07:54 AM",1,Stock: [FBMKLCI-H4X]: FBMKLCI-H4X: PW FTSE BURSA MALAYSIA KLCI INDEX (CIMB)
Why PEB remains a good arbitrage play? https://klse.i3investor.com/blogs/inver...,/servlets/forum/800001078.jsp?fp=21,"Oct 28, 12:47 AM","1,733",Stock: [PEB]: TRIPLC BHD
"Market so boring. We need to create some hype here n there ("",)",/servlets/forum/800000006.jsp?fp=21,"Oct 26, 09:57 PM",29,Stock: [PINEAPP]: PINEAPPLE RESOURCES BHD
Consistent financial performance over a stretch of few years. Plan to buy at c...,/servlets/forum/800002725.jsp?fp=21,"Aug 27, 10:18 PM","1,719",Stock: [HHHCORP]: HIAP HUAT HOLDINGS BHD
Rubbish paper soon.....,/servlets/forum/800005556.jsp?fp=21,"Oct 24, 10:33 PM",21,Stock: [BIOHLDG-WA]: BIOALPHA HOLDINGS BERHAD
So many semiconductor company what makes this company special ??,/servlets/forum/800007366.jsp?fp=21,"Oct 24, 08:09 AM",7,Stock: [AMLEX]: AMLEX
you need to understand first before playing wakaka,/servlets/forum/800006903.jsp?fp=21,"Oct 22, 11:27 AM",3,Stock: [HSI-C3H]: HSI-C3H: CW HANG SENG INDEX (MACQ)
"TCN, RIP.",/servlets/forum/800001076.jsp?fp=21,"Oct 22, 10:41 AM",406,Stock: [IGBB]: IGB BHD
79 cents you got?,/servlets/forum/800004542.jsp?fp=21,"Oct 20, 03:40 PM",210,Stock: [ALSREIT]: AL-SALAM REAL ESTATE INVESTMENT TRUST
Boleh,#,"Oct 19, 07:39 PM",1,
When fly?,/servlets/forum/800003641.jsp?fp=22,"Oct 19, 07:31 PM",74,Stock: [EFORCE-WA]: EXCEL FORCE MSC BHD
suddenly go up,/servlets/forum/800001228.jsp?fp=22,"Oct 19, 03:23 PM",35,Stock: [ARK]: ARK RESOURCES BHD
any news?,/servlets/forum/800006211.jsp?fp=22,"Oct 19, 11:17 AM",72,Stock: [TRIVE-WB]: TRIVE PROPERTY GROUP BERHAD
cannot sell,/servlets/forum/800004664.jsp?fp=22,"Oct 19, 09:22 AM",68,Stock: [TALIWRK-WB]: 
any one bought Gkent Cg ?,/servlets/forum/800006939.jsp?fp=22,"Oct 17, 07:14 PM",7,Stock: [GKENT-CG]: GKENT-CG: CW GEORGE KENT (MALAYSIA) BERHAD (MIBB)
Buy sikit pasdec  wa,/servlets/forum/800007099.jsp?fp=22,"Oct 15, 04:12 PM",14,Stock: [PASDEC-WA]: PASDEC HOLDINGS BERHAD
Why not moving,/servlets/forum/800006871.jsp?fp=22,"Oct 15, 11:26 AM",1,Stock: [INARI-C15]: INARI-C15: CW INARI AMERTRON BHD (MACQ)
Is this like buying that Genting will raise past 8.80 by 28 June 2019?,/servlets/forum/800007435.jsp?fp=22,"Oct 15, 10:27 AM",1,Stock: [GENTINGC56]: GENTINGC56: CW GENTING BERHAD (MACQ)
what happened here? price dropped so low...,/servlets/forum/800003989.jsp?fp=22,"Oct 11, 09:56 AM",16,Stock: [PUC-WA]: PUC BHD
No news. Victor Chin pump then dump?,/servlets/forum/800004976.jsp?fp=22,"Oct 9, 10:31 PM",329,Stock: [DWL-PA]: SPRING GALLERY BERHAD
"Hi, Kris Wong, just read this blog.  Can share your advice on Pilecon shares? ...",/servlets/forum/800000649.jsp?fp=22,"Oct 9, 11:44 AM",7,Stock: [PILECON]: PILECON ENGINEERING BHD
"Who bought 14 cents one month ago, now koyak, merchant banker happily take mon...",/servlets/forum/800007199.jsp?fp=22,"Oct 8, 10:59 PM",1,Stock: [GAMUDA-C52]: GAMUDA-C52: CW GAMUDA BERHAD (KIBB)
"Lowest 0.445, who so hungry sell at 0.445, highest near 2 ringgit ???",/servlets/forum/800002220.jsp?fp=22,"Oct 6, 06:05 PM",211,Stock: [SNTORIA]: SENTORIA GROUP BHD
did you make money in GOOGLE (alphabet) warrent? That one if you bought 3.0 se...,/servlets/forum/800006029.jsp?fp=22,"Nov 2, 12:35 PM",1,Stock: [SAPNRGC47]: SENERGYC47: CW SAPURA ENERGY BERHAD (RHB)
"04/10/2018      0.16   0.12 - 0.165           0.16  +0.04 (33.33%)	 	 9,284,30...",/servlets/forum/800007416.jsp?fp=22,"Oct 5, 08:36 PM",1,Stock: [MNRB-OR]: 
good investment for future and  under PH,/servlets/forum/800007427.jsp?fp=22,"Oct 5, 11:39 AM",1,Stock: [MYKRIS]: MYKRIS
Today volume good,/servlets/forum/800003963.jsp?fp=22,"Oct 4, 10:29 AM",88,Stock: [SYF-WB]: SYF RESOURCES BHD
Hello?,/servlets/forum/800003275.jsp?fp=22,"Oct 3, 10:52 PM",573,Stock: [SUMATEC-WB]: SUMATEC RESOURCES - WB 13/18
guys. fitter and the gang will shoot up in next few day. don`t miss the boat..,/servlets/forum/800003783.jsp?fp=22,"Oct 3, 09:46 PM",14,Stock: [FITTERS-WB]: FITTERS DIVERSIFIED BHD
can buy more,/servlets/forum/800003456.jsp?fp=22,"Oct 3, 03:49 PM",1,Stock: [PERDANA-CB]: PERDANA-CB
can buy more,/servlets/forum/800002148.jsp?fp=22,"Oct 3, 03:49 PM",1,Stock: [GENTING-C5]: GENTING-C5:CW GENTING BHD (AM)
can buy more,/servlets/forum/800003912.jsp?fp=22,"Oct 3, 03:49 PM",5,Stock: [ATTA-WC]: ATTA GLOBAL GROUP BHD
can buy more,/servlets/forum/800003467.jsp?fp=22,"Oct 3, 03:49 PM",1,Stock: [MRCB-CX]: MRCB-CX
can buy more,/servlets/forum/800003609.jsp?fp=22,"Oct 3, 03:49 PM",1,Stock: [SKPETRO-CY]: SKPETRO-CY
can buy more,/servlets/forum/800003229.jsp?fp=22,"Oct 3, 03:48 PM",1,Stock: [MUDAJYA-CS]: MUDAJYA-CS:CW MUDAJAYA (RHB)
can buy more,/servlets/forum/800003059.jsp?fp=22,"Oct 3, 03:47 PM",1,Stock: [AAX-CD]: AAX-CD : CW AIRASIA X BHD (AM)
wow. up 5%,/servlets/forum/800000973.jsp?fp=22,"Oct 3, 02:50 PM",270,Stock: [KSTAR]: K-STAR SPORTS LTD
Kenanga SapNrg TP 34 why issue CW exercise price 48 sen? All IBs' want to ...,/servlets/forum/800007389.jsp?fp=22,"Oct 3, 03:31 AM",1,Stock: [SAPNRGC71]: SAPNRGC71: CW SAPURA ENERGY BERHAD (KIBB)
what is the address and tel no for,/servlets/forum/800001741.jsp?fp=22,"Oct 2, 03:20 PM",489,Stock: [SAAG]: SAAG CONSOLIDATED (M) BHD
insbio shares mati already  or still alive,/servlets/forum/800000104.jsp?fp=22,"Oct 2, 03:12 PM",219,Stock: [INSBIO]: INS BIOSCIENCE BHD
I FOLLOWWW,/servlets/forum/800006444.jsp?fp=22,"Oct 1, 11:02 AM",8,Stock: [VIS-WB]: VISDYNAMICS HOLDINGS BERHAD
Slowly will go down to RM 0.030,/servlets/forum/800007262.jsp?fp=22,"Sep 30, 09:00 PM",10,Stock: [EDEN-WB]: EDEN INC. BERHAD
Dun waste time la. Create so many usename just to insult me. Useless person,/servlets/forum/800006315.jsp?fp=22,"Sep 30, 07:10 PM",12,Stock: [EG-PA]: EG INDUSTRIES BERHAD
"Mana ada show pure goreng lah, once untung cabut",/servlets/forum/800001684.jsp?fp=22,"Sep 28, 07:37 PM",522,Stock: [JETSON]: KUMPULAN JETSON BHD
Property sector is already saturated. Quite challenging for a new company to e...,/servlets/forum/800001473.jsp?fp=22,"Sep 27, 01:43 PM","1,175",Stock: [ARANK]: A-RANK BHD
wow Mr.5000 is back..keep throwing down..,/servlets/forum/800006965.jsp?fp=22,"Sep 27, 10:47 AM",1,Stock: [RGTBHD-WB]: ASIA KNIGHT BERHAD
Anyone knows when is the payout date for this takeover?I have 1k shares.,/servlets/forum/800000445.jsp?fp=22,"Sep 27, 09:33 AM",106,Stock: [PTGTIN]: PETALING TIN BHD
"buy it before it explode, dyson approve their technology...will move as VS ,ca...",/servlets/forum/800004630.jsp?fp=22,"Sep 26, 05:04 PM",383,Stock: [EG-WC]: EG INDUSTRIES BHD
anyone can get 0.005 ??,/servlets/forum/800001232.jsp?fp=22,"Sep 26, 11:18 AM",206,Stock: [HUBLINE-WA]: HUBLINE BHD- WARRANT 2009/2019
Normally how many times we get dividen in one year?,/servlets/forum/800001131.jsp?fp=22,"Sep 20, 11:33 AM",305,Stock: [FARLIM]: FARLIM GROUP MALAYSIA BHD
Wallaweh.. Bottom already..,/servlets/forum/800004724.jsp?fp=22,"Sep 18, 11:23 PM",19,Stock: [ASIAPLY-WA]: ASIA POLY HOLDINGS BERHAD
Thank you cariyoyo.  Best rgds.,#,"Sep 14, 12:05 PM",17,
Thank you cariyoyo.  Best rgds.,/servlets/forum/800000476.jsp?fp=23,"Sep 14, 12:05 PM",17,Stock: [RVIEW]: RIVERVIEW RUBBER ESTATES BHD
is it worth to convert ?,/servlets/forum/800006839.jsp?fp=23,"Sep 8, 11:28 AM",4,Stock: [SAPNRGC64]: SAPNRGC64
"Although belated, in future, if anyone see any of the present BOD's name i...",/servlets/forum/800001282.jsp?fp=23,"Sep 5, 05:40 PM","1,289",Stock: [ABRIC]: ABRIC BHD
I just got this bonus warrant But the price are not moving and very low volume,/servlets/forum/800007310.jsp?fp=23,"Sep 5, 04:49 PM",1,Stock: [TANCO-WB]: TANCO HOLDINGS BERHAD
well now jus purely goreng for low pe n low sharebase company..lets see how it...,/servlets/forum/800001675.jsp?fp=23,"Sep 5, 11:33 AM",337,Stock: [JERASIA]: JERASIA CAPITAL BHD
"This stock become stronger and stronger, worth to invest",/servlets/forum/800001100.jsp?fp=23,"Sep 5, 11:01 AM",578,Stock: [DOLMITE]: DOLOMITE CORPORATION BHD
Hi Room! Up or down today?,/servlets/forum/800007309.jsp?fp=23,"Sep 4, 09:05 AM",1,Stock: [SUPERMX-C51]: SUPERMX-C51: CW SUPERMAX CORPORATION BERHAD (AM)
doesn't make sense for this to trade at 0.5 sen or even 1 sen. The OS give...,/servlets/forum/800007299.jsp?fp=23,"Sep 3, 11:45 PM",1,Stock: [MAYBULK-OS]: 
The best entry point is RM 0.025-RM 0.030,/servlets/forum/800007084.jsp?fp=23,"Sep 3, 09:13 PM",4,Stock: [TM-C25]: TM-C25: CW TELEKOM MALAYSIA BHD (MACQ)
Next week the price can go down to RM 0.465 from Monday to Tuesday,/servlets/forum/800006831.jsp?fp=23,"Sep 2, 05:51 PM",1,Stock: [HSI-H4G]: HSI-H4G
very greedy..stay away,/servlets/forum/800001306.jsp?fp=23,"Sep 2, 02:00 AM",95,Stock: [ANALABS]: ANALABS RESOURCES BHD
After goreng short kawkaw?,/servlets/forum/800006841.jsp?fp=23,"Sep 1, 06:56 PM",1,Stock: [SUPERMX-C40]: SUPERMX-C40
Mother naik pun tapi waran tido ja.harap director do someting supaya waran dap...,/servlets/forum/800007186.jsp?fp=23,"Aug 31, 07:06 PM",1,Stock: [SWSCAP-WB]: SWS CAPITAL BERHAD
Buy some to keep at 17.5 cents~,/servlets/forum/800007161.jsp?fp=23,"Aug 31, 11:38 AM",1,Stock: [MAYBANKC43]: MAYBANKC43: CW MALAYAN BANKING BERHAD (CIMB)
free bonus warrant free 8 for every 25 shares,/servlets/forum/800004561.jsp?fp=23,"Aug 29, 11:23 AM",4,Stock: [THRIVEN-WB]: THRIVEN GLOBAL BHD
Sori Cikgu...too excited for  opportunity due to the drastic drop ...  when mo...,/servlets/forum/800007215.jsp?fp=23,"Aug 28, 02:08 PM",4,Stock: [SAPNRGC68]: SAPNRGC68: CW SAPURA ENERGY BERHAD (RHB)
Lousy listing price,/servlets/forum/800007279.jsp?fp=23,"Aug 28, 11:29 AM",1,Stock: [BURSA-C20]: BURSA-C20: CW BURSA MALAYSIA BHD (MACQ)
The mother start increasing,/servlets/forum/800006692.jsp?fp=23,"Aug 27, 12:25 PM",5,Stock: [HIBISCS-CA]: HIBISCS-CA: CW HIBISCUS PETROLEUM BERHAD (MIBB)
recently got momentum..looks like counter slowly going up. Any news about this?,/servlets/forum/800000964.jsp?fp=23,"Aug 27, 12:14 PM",43,Stock: [HOKHENG]: HOCK HENG STONE INDUSTRIES BHD
Good job ! keep rising....,/servlets/forum/800003157.jsp?fp=23,"Aug 27, 10:18 AM",615,Stock: [MRCB-WA]: MSIAN RES CORP BHD-WARR 13/18
new IPO..So virgin ar? all chasing .. good luck// hahaha,/servlets/forum/800007263.jsp?fp=23,"Aug 25, 09:59 PM",1,Stock: [MELEWAR-WB]: MELEWAR INDUSTRIAL GROUP BERHAD
is coming to fly... be greedy while stock sleeping. look on mother how they go...,/servlets/forum/800003748.jsp?fp=23,"Aug 25, 09:56 PM",56,Stock: [CENSOF-WB]: CENSOF HOLDINGS BHD
is coming.. don`t miss it.,/servlets/forum/800004943.jsp?fp=23,"Aug 25, 09:55 PM",10,Stock: [DOLPHIN-WA]: DOLPHIN INTERNATIONAL BERHAD
"Maturity Date:	Apr 30, 2020",/servlets/forum/800005838.jsp?fp=23,"Aug 25, 11:41 AM",15,Stock: [KGROUP-WB]: KEY ALLIANCE GROUP BERHAD
Seems a lot of experts here so interesting trust me dun believe what u seen,/servlets/forum/800000974.jsp?fp=23,"Aug 24, 05:57 PM",569,Stock: [SYSCORP]: SHIN YANG SHIPPING CORP BHD
AhLien in deep sleep... zzzzzzzzzzzzzzzzzzzzzzzz!!!,/servlets/forum/800000582.jsp?fp=23,"Aug 24, 12:17 PM",183,Stock: [LIENHOE]: LIEN HOE CORP BHD
"for the last 13 qters useless FA reports, revenue dwindling, no profit.. must ...",/servlets/forum/800001641.jsp?fp=23,"Aug 23, 05:28 PM",590,Stock: [JASKITA]: JASA KITA BHD
Opportunity !!,/servlets/forum/800003584.jsp?fp=23,"Aug 23, 04:55 PM",32,Stock: [KGB-WA]: KELINGTON GROUP BHD
"yeah, 0.385 now. but still so quiet here",/servlets/forum/800006810.jsp?fp=23,"Aug 23, 11:41 AM",4,Stock: [NOTION-WC]: NOTION VTEC BERHAD
"wah, suddenly fly because of no road block today. Profit everyday thanksss",/servlets/forum/800003168.jsp?fp=23,"Aug 21, 11:20 AM",7,Stock: [TDEX-WA]: TECHNODEX BHD-WA13/18
QR around end of month,/servlets/forum/800001382.jsp?fp=23,"Aug 14, 02:16 PM",269,Stock: [STONE]: STONE MASTER CORP BHD
"Buy sikit , mana tahu jadi mcm toyoink",/servlets/forum/800003311.jsp?fp=23,"Aug 20, 02:32 PM",32,Stock: [EDUSPEC-WA]: 
Spyron_09 ur prediction lost hope...,/servlets/forum/800006365.jsp?fp=23,"Aug 20, 02:31 PM",15,Stock: [MRCB-WB]: MALAYSIAN RESOURCES CORPORATION BERHAD
Very interesting stock ! Worth to invest tho,/servlets/forum/800004932.jsp?fp=23,"Aug 20, 11:03 AM",23,Stock: [HWGB-WD]: HO WAH GENTING BERHAD
"1st target price, 0.30",/servlets/forum/800003832.jsp?fp=23,"Aug 17, 09:57 PM",14,Stock: [WZSATU-WA]: WZ SATU BHD
Post removed. Why? ,/servlets/forum/800002012.jsp?fp=23,"Aug 16, 05:50 PM",31,Stock: [PMETAL-WC]: PRESS METAL BHD - WC 2011/2019
赚赚赚,/servlets/forum/800001433.jsp?fp=23,"Aug 16, 11:49 AM",210,Stock: [G3]: G3 GLOBAL BHD
cheap.,/servlets/forum/800004054.jsp?fp=23,"Aug 15, 10:03 PM",3,Stock: [SSTEEL-LB]: SOUTHERN STEEL BHD
Salted fish alive,/servlets/forum/800004057.jsp?fp=23,"Aug 15, 03:18 PM",118,Stock: [TEKSENG-WA]: TEK SENG HOLDINGS BHD
Compared to the 52 weeks range a high of 3.08 many are still struggling inorde...,/servlets/forum/800003750.jsp?fp=23,"Aug 14, 09:48 PM",100,Stock: [TGUAN-WA]: THONG GUAN INDUSTRIES BHD
last minutes up..,/servlets/forum/800007188.jsp?fp=23,"Aug 14, 05:02 PM",4,Stock: [SALCON-WB]: SALCON BERHAD
AFTER LEADER UNIVERSAL WAS TAKEN PRIVATE ... MANY DIRECTORS HAVE BOUGHT INTO G...,/servlets/forum/800000697.jsp?fp=23,"Aug 14, 08:01 AM",4,Stock: [LEADER]: LEADER UNIVERSAL HOLDINGS BHD
Haha,/servlets/forum/800000155.jsp?fp=23,"Aug 13, 05:44 PM",202,Stock: [SCN]: SCAN ASSOCIATES BHD
start taking profit !!!,/servlets/forum/800003945.jsp?fp=23,"Aug 13, 03:43 PM",45,Stock: [MINETEC-WA]: MINETECH RESOURCES BHD
hohohohohoho,/servlets/forum/800006995.jsp?fp=23,"Aug 12, 11:46 PM",4,Stock: [MRCB-C32]: MRCB-C32: CW MALAYSIAN RESOURCES CORPORATION BERHAD (CIMB)
Why did it drop ?,/servlets/forum/800007229.jsp?fp=23,"Aug 10, 01:34 PM",1,Stock: [MRCB-C34]: MRCB-C34: CW MALAYSIAN RESOURCES CORP BHD (MACQ)
wow..climbing!!,#,"Aug 10, 12:19 PM",22,
wow..climbing!!,/servlets/forum/800003444.jsp?fp=24,"Aug 10, 12:19 PM",22,Stock: [TFP-WA]: TFP-WA
will continue to break 52-week low every week,/servlets/forum/800000173.jsp?fp=24,"Aug 9, 04:49 PM",190,Stock: [OVERSEA]: OVERSEA ENTERPRISE BHD
好股！！！,/servlets/forum/800000176.jsp?fp=24,"Aug 9, 11:40 AM",15,Stock: [MGRC]: MALAYSIAN GENOMICS RESOURCE CENTRE BHD
1870 !!! gogo c3r,/servlets/forum/800006824.jsp?fp=24,"Aug 9, 09:20 AM",5,Stock: [FBMKLCI-C3R]: FBMKLCI-C3R
30 /5 announcement made by local news . Robert Tan buy the shares . from major...,/servlets/forum/800001581.jsp?fp=24,"Jun 1, 11:27 AM",6,Stock: [CICB]: CENTRAL INDUSTRIAL CORP BHD
this VAVICOM not even to find root price but drill to find core of earth ka? h...,/servlets/forum/800003122.jsp?fp=24,"Aug 8, 05:40 PM",345,Stock: [VIVOCOM-WB]: INSTACOM GROUP BHD-WB 13/18
"Mother already up, but wonder WB still pusing2 at 0.085..hhuhuhu",/servlets/forum/800006475.jsp?fp=24,"Aug 8, 09:59 AM",9,Stock: [MMAG-WB]: MMAG HOLDINGS BERHAD
better collect it...expected qtr rslt is end this month ...almost double produ...,/servlets/forum/800001570.jsp?fp=24,"Aug 6, 06:50 PM",14,Stock: [TIMWELL]: TIMBERWELL BHD
Fuhh 18% for today.. Tomolo keep up!! Don't buy.. Just see it rise ok,/servlets/forum/800003628.jsp?fp=24,"Aug 6, 05:28 PM",28,Stock: [MENANG-WB]: MENANG CORP (M) BHD
Can buy while still cheap,/servlets/forum/800004457.jsp?fp=24,"Aug 6, 10:41 AM",16,Stock: [MITRA-WD]: MITRAJAYA HOLDINGS BHD
what happen for this stock? Already burn all??,/servlets/forum/800007168.jsp?fp=24,"Aug 6, 09:51 AM",8,Stock: [PWORTH-OR]: 
Interesting.....,/servlets/forum/800001048.jsp?fp=24,"Aug 5, 08:15 PM",774,Stock: [KIMHIN]: KIM HIN INDUSTRY BHD
Dow Jones U.S. Iron & Steel Index DJUSST (INDEXDJX) 285.31Price decrease6....,/servlets/forum/800000485.jsp?fp=24,"Aug 3, 08:46 AM",28,Stock: [AISB]: AMALGAMATED INDUSTRIAL STEEL
提醒: 投资银行压低母股的股票让持有call warrant变成废纸！  投资银行与大股东（庄家）合作将推出call warrant让小股民购买，用废纸换真...,/servlets/forum/800006594.jsp?fp=24,"Jul 31, 03:05 PM",1,Stock: [PETRONM-CM]: PETRONM-CM: CW PETRON MALAYSIA REFINING & MARKETING BHD (CIMB)
提醒: 投资银行压低母股的股票让持有call warrant变成废纸！  投资银行与大股东（庄家）合作将推出call warrant让小股民购买，用废纸换真...,/servlets/forum/800006878.jsp?fp=24,"Jul 31, 03:05 PM",1,Stock: [MBSB-C12]: MBSB-C12: CW MALAYSIA BUILDING SOCIETY BHD (MACQ)
提醒: 投资银行压低母股的股票让持有call warrant变成废纸！  投资银行与大股东（庄家）合作将推出call warrant让小股民购买，用废纸换真...,/servlets/forum/800006569.jsp?fp=24,"Jul 31, 03:04 PM",1,Stock: [DRBHCOMC47]: DRBHCOMC47: CW DRB-HICOM BHD (MACQ)
提醒: 投资银行压低母股的股票让持有call warrant变成废纸！  投资银行与大股东（庄家）合作将推出call warrant让小股民购买，用废纸换真...,/servlets/forum/800007038.jsp?fp=24,"Jul 31, 03:04 PM",1,Stock: [SAPNRGC67]: SAPNRGC67: CW SAPURA ENERGY BERHAD (MACQ)
don't know when can this counter rebound?,/servlets/forum/800004484.jsp?fp=24,"Jul 31, 09:53 AM",117,Stock: [WCT-WE]: WCT HOLDINGS BERHAD
Next Station RM 0.24,/servlets/forum/800005218.jsp?fp=24,"Jul 29, 05:41 PM",13,Stock: [AJIYA-WA]: AJIYA BERHAD
Good Sign.....more buyers linning up. Sure goes up opening tomorrow.,/servlets/forum/800007187.jsp?fp=24,"Jul 26, 04:46 PM",6,Stock: [MELEWAR-OR]: 
Need more support,/servlets/forum/800007040.jsp?fp=24,"Jul 26, 10:21 AM",1,Stock: [CIMB-C36]: CIMB-C36: CW CIMB GROUP HOLDINGS BERHAD (MACQ)
"Loss money like shit, when can back 17 cents?",/servlets/forum/800006899.jsp?fp=24,"Jul 25, 09:30 PM",2,Stock: [TENAGA-C44]: TENAGA-C44: CW TENAGA NASIONAL BHD (CIMB)
Very quiet today,/servlets/forum/800001579.jsp?fp=24,"Jul 25, 12:39 PM",68,Stock: [CNASIA]: CN ASIA CORP BHD
gone case la,/servlets/forum/800006581.jsp?fp=24,"Jul 24, 04:58 PM",6,Stock: [HSI-H4B]: HSI-H4B: PW HANG SENG INDEX (MACQ)
Ayam punya counter...dapat project pun price tidak gerak..,/servlets/forum/800005595.jsp?fp=24,"Jul 23, 12:13 PM",17,Stock: [DBE-WB]: D.B.E. GURNEY RESOURCES BERHAD
Is Malaysia’s ETF mature enough for Long term investment? Which is the best op...,/servlets/forum/800000283.jsp?fp=24,"Jul 21, 04:24 AM",7,Stock: [FBMKLCI-EA]: FTSE BURSA MALAYSIA KLCI ETF
Good to buy?,/servlets/forum/800007152.jsp?fp=24,"Jul 19, 09:38 AM",1,Stock: [DLADY-CB]: DLADY-CB: CW DUTCH LADY MILK INDUSTRIES BERHAD (MIBB)
price dah start naik,/servlets/forum/800006127.jsp?fp=24,"Jul 18, 09:18 AM",6,Stock: [SCGM-WA]: SCGM BHD
nothingness bring it on KIB. Anyone want to huat together ???   we play tomorr...,/servlets/forum/800006797.jsp?fp=24,"Jul 17, 08:48 PM",9,Stock: [TALIWRK-CD]: TALIWRK-CD: CW TALIWORKS CORPORATION BERHAD (KIBB)
"By now, i think if it is actively traded, price now should be around 9 cent at...",/servlets/forum/800006893.jsp?fp=24,"Jul 17, 09:21 AM",3,Stock: [FBMKLCI-C3V]: FBMKLCI-C3V: CW FTSE BURSA MALAYSIA KLCI INDEX (CIMB)
"Welp, there goes my warrants.",/servlets/forum/800003061.jsp?fp=24,"Jul 13, 05:00 PM",142,Stock: [APFT-WA]: APFT BHD-WA 2013/2018
